DL,UL,Timestamp,content,A,B,C,D
4707.4644,5365.1875,31,"Location[gps 40.126177,-88.219427 acc=12 et=+17h59m29s170ms alt=190.0 vel=18.75 bear=359.8 {Bundle[mParcelledData.dataSize=40]}]",12,190,18.75,359.8
8212.677,5389.3916,32,"Location[gps 40.126821,-88.219404 acc=12 et=+17h59m33s171ms alt=189.0 vel=18.5 bear=359.7 {Bundle[mParcelledData.dataSize=40]}]",12,189,18.5,359.7
4735.6865,5239.686,33,"Location[gps 40.127490,-88.219406 acc=11 et=+17h59m37s180ms alt=187.0 vel=19.0 bear=359.5 {Bundle[mParcelledData.dataSize=40]}]",11,187,19,359.5
6988.6494,5953.3975,34,"Location[gps 40.128197,-88.219396 acc=11 et=+17h59m41s184ms alt=187.0 vel=20.25 bear=359.7 {Bundle[mParcelledData.dataSize=40]}]",11,187,20.25,359.7
5822.0093,5842.992,35,"Location[gps 40.128939,-88.219420 acc=11 et=+17h59m45s170ms alt=187.0 vel=20.5 bear=359.3 {Bundle[mParcelledData.dataSize=40]}]",11,187,20.5,359.3
5829.116,4497.735,36,"Location[gps 40.129682,-88.219426 acc=10 et=+17h59m49s170ms alt=188.0 vel=20.75 bear=359.0 {Bundle[mParcelledData.dataSize=40]}]",10,188,20.75,359
6042.558,5688.802,37,"Location[gps 40.130377,-88.219448 acc=11 et=+17h59m53s174ms alt=193.0 vel=20.0 bear=0.2 {Bundle[mParcelledData.dataSize=40]}]",11,193,20,0.2
4787.3486,4849.7227,38,"Location[gps 40.131104,-88.219436 acc=10 et=+17h59m57s171ms alt=187.0 vel=19.5 bear=0.5 {Bundle[mParcelledData.dataSize=40]}]",10,187,19.5,0.5
2994.396,5618.5703,39,"Location[gps 40.131832,-88.219404 acc=10 et=+18h0m1s173ms alt=184.0 vel=19.25 bear=0.2 {Bundle[mParcelledData.dataSize=40]}]",10,184,19.25,0.2
7522.738,5098.0728,40,"Location[gps 40.132488,-88.219438 acc=11 et=+18h0m5s172ms alt=186.0 vel=19.0 bear=359.2 {Bundle[mParcelledData.dataSize=40]}]",11,186,19,359.2
6155.1563,4909.514,41,"Location[gps 40.133186,-88.219436 acc=11 et=+18h0m9s172ms alt=189.0 vel=18.75 bear=0.3 {Bundle[mParcelledData.dataSize=40]}]",11,189,18.75,0.3
2629.5356,3902.3794,42,"Location[gps 40.133728,-88.219450 acc=10 et=+18h0m13s176ms alt=194.0 vel=13.25 bear=359.5 {Bundle[mParcelledData.dataSize=40]}]",10,194,13.25,359.5
5160.5815,4420.0767,43,"Location[gps 40.134051,-88.219458 acc=10 et=+18h0m17s178ms alt=193.0 vel=7.0 bear=0.0 {Bundle[mParcelledData.dataSize=40]}]",10,193,7,0
6165.9614,5893.4355,44,"Location[gps 40.134137,-88.219457 acc=10 et=+18h0m21s169ms alt=192.0 vel=0.75 bear=1.7 {Bundle[mParcelledData.dataSize=40]}]",10,192,0.75,1.7
6570.316,6444.657,45,"Location[gps 40.134169,-88.219451 acc=10 et=+18h0m25s170ms alt=193.0 vel=2.25 bear=1.6 {Bundle[mParcelledData.dataSize=40]}]",10,193,2.25,1.6
7496.86,5688.802,46,"Location[gps 40.134426,-88.219441 acc=10 et=+18h0m29s169ms alt=193.0 vel=9.0 bear=0.2 {Bundle[mParcelledData.dataSize=40]}]",10,193,9,0.2
7537.333,5520.1313,47,"Location[gps 40.135203,-88.219486 acc=10 et=+18h0m37s169ms alt=197.0 vel=10.25 bear=356.0 {Bundle[mParcelledData.dataSize=40]}]",10,197,10.25,356
2585.5276,5127.2466,48,"Location[gps 40.135203,-88.219486 acc=10 et=+18h0m37s169ms alt=197.0 vel=10.25 bear=356.0 {Bundle[mParcelledData.dataSize=40]}]",10,197,10.25,356
8397.169,5216.8057,49,"Location[gps 40.135507,-88.219518 acc=11 et=+18h0m42s169ms alt=193.0 vel=3.25 bear=0.7 {Bundle[mParcelledData.dataSize=40]}]",11,193,3.25,0.7
7012.8887,6014.593,50,"Location[gps 40.135532,-88.219521 acc=10 et=+18h0m46s171ms alt=192.0 vel=0.25 bear=357.2 {Bundle[mParcelledData.dataSize=40]}]",10,192,0.25,357.2
6963.903,8347.698,51,"Location[gps 40.135539,-88.219534 acc=9 et=+18h0m50s170ms alt=194.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,194,0,0
7005.421,5480.039,52,"Location[gps 40.135552,-88.219541 acc=9 et=+18h0m57s198ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
6039.066,4909.514,53,"Location[gps 40.135548,-88.219541 acc=9 et=+18h1m1s180ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
6151.6216,5801.6113,54,"Location[gps 40.135548,-88.219542 acc=9 et=+18h1m5s170ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
8342.462,6168.5806,55,"Location[gps 40.135547,-88.219541 acc=9 et=+18h1m9s177ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
7319.846,5988.2124,56,"Location[gps 40.135547,-88.219541 acc=9 et=+18h1m13s174ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
6463.752,6215.3833,57,"Location[gps 40.135546,-88.219542 acc=9 et=+18h1m17s181ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
7498.982,5573.7876,58,"Location[gps 40.135546,-88.219542 acc=9 et=+18h1m21s169ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
6491.4297,6050.1294,59,"Location[gps 40.135546,-88.219542 acc=9 et=+18h1m25s177ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
3819.6929,6364.544,60,"Location[gps 40.135546,-88.219542 acc=9 et=+18h1m29s183ms alt=195.0 vel=0.0 {Bundle[mParcelledData.dataSize=40]}]",9,195,0,0
